ID (TextGridURI),Texts concerned,Commenté en note scientifique dans textGrid / présence de liens Gallica en note scientifique,Checked Alexandra (avant rédaction des notices descriptives),,IDNO,Map of Paris : extract place ; if yes,,Map of Europe and other countries : put an x in the column to exclude the entry from the map,UNIDENTIFIED Put an x if the place is unknown, leave.it.blank if it is known,PlaceName hist FR,PlaceName hist DE,PlaceName current FR,PlaceName current DE,Type,State FR,State DE,Function FR,Function DE,Artist,Date construction destruction FR,Date construction destruction DE,Location geo,"Description (FR)<p></p>
",Description (DE) <p></p>,Description (DE) - Angela Göbel <p></p> OLD Column,,"Description requise [BC]
","Notes d’Hanna Hartmann [AH], Axelle Janiak [AJ] et Cyril Pasquier [CP], Helmut Larhkamp pour Corfey [HL]

AP : EN bleu : garder les informations pour le champ Description ? ","Description requise [BC]
",Bibliographie
textgrid:3pfd9,Corfey, Knesebeck, Pitzler,,,OK,,https://www.wikidata.org/wiki/Q188977,x,,,hôtel royal des Invalides ; hôpital royal,Hôtel royal des Invalides; Hôpital royal,Paris, hôtel des Invalides (avec l’église des Soldats),Paris, Hôtel des Invalides (mit der Église des Soldats),military,conservé,erhalten,église ; sépulture depuis 1800 ; musée depuis 1777 (des Plans-reliefs) ; 1871: musée de l’Artillerie ; 1905 : musée de l’Armée,Kirche; Grabstätte seit 1800; Museum seit 1777 (Musée des Plans-Reliefs); 1871: Museum der Artillerie; 1905: Museum der Armee,<Bruand, Libéral (psn:textgrid:3pg6c)>; <Hardouin-Mansart, Jules (psn:textgrid:3pg9f)>; <Cotte, Robert de (psn:textgrid:3pg7t)>,,1671: Baubeginn; 1676-1706: Umbauphase und Bauende,48.85502, 2.31251,"<p>Dans l’édit royal de 1670, Louis XIV décide la construction d’un hôtel pour les soldats invalides, dont le chantier commence en 1671. L’édit royal d’établissement de 1674 en précise le rôle : il doit servir à loger et à soigner les soldats blessés à la guerre. La construction est assurée par l’architecte Libéral Bruand, à qui on doit aussi l’érection de l’église des Soldats de 1677 à 1679. Jules Hardouin-Mansart y ajoute la grande église du « Dôme », pour en faire une double église ; elle est construite sur trente ans, de 1676 à 1706.</p>
<p>Sturm remarque les décors des réfectoires.</p>
<p>Ces décors sont de la main de Friquet de Vauroze, Michel II Corneille et Joseph Parrocel. Ils représentent des scènes de bataille et des compositions allégoriques à la gloire de Louis XIV. Peints entre 1677 et 1680, ils vont malheureusement rapidement s’altérer au point de n’être que partiellement visibles à la fin du <smc>XVII</smc><sup>e</sup> siècle. Plusieurs phases de restauration auront lieu dès le début du <smc>XVIII</smc><sup>e</sup> siècle grâce au peintre Pierre Dulin.</p>
<p>Frédéric Lacaille (dir.), <i>L’œuvre révélé de Joseph Parrocel. Peintures murales aux Invalides</i>, Dijon, Faton, 2005, p. 155-156.</p>
<p>Alexandre Gady (dir.), <i>Jules Hardouin-Mansart (1646-1708)</i>, Paris, Éd. de la Maison des sciences de l’homme, 2010, p. 147-165.</p>
<p>Alexandre Gady (dir.), <i>L’hôtel des Invalides</i>, Paris, L’Esplanade, 2016.</p>
"
textgrid:3pfdb,Corfey, Knesebeck, Pitzler,,,OK,,https://www.wikidata.org/wiki/Q4992220,x,,,,"
",Paris, cathédrale Saint-Louis-des-Invalides ; église du Dôme,Paris, Cathédrale Saint-Louis-des-Invalides; Église du Dôme,religious,conservé,erhalten,église ; sépulture depuis 1800 ; musée depuis 1777 (des Plans-reliefs) ; 1871 : musée de l’Artillerie ; 1905 : musée de l’Armée,Kirche; Grabstätte seit 1800; Museum seit 1777 (Musée des Plans-Reliefs); 1871: Museum der Artillerie; 1905: Museum der Armee,<Hardouin-Mansart, Jules (psn:textgrid:3pg9f)>,1676 : début des travaux ; 1706 : fin des travaux,1676: Baubeginn; 1706: Bauende,, 2.312634,"<p>Dans l’édit royal de 1670, Louis XIV décide la construction d’un hôtel pour les soldats invalides, dont le chantier commence en 1671. L’édit royal d’établissement de 1674 en précise le rôle : il doit servir à loger et à soigner les soldats blessés à la guerre. La construction est assurée par l’architecte Libéral Bruand à qui on doit aussi l’érection de l’église des Soldats de 1677 à 1679. Jules Hardouin-Mansart y ajoute la grande église du « Dôme », pour en faire une double église ; elle est construite sur trente ans, de 1676 à 1706.</p>
<p>Alexandre Gady (dir.), <i>Jules Hardouin-Mansart (1646-1708)</i>, Paris, Éd. de la Maison des sciences de l’homme, 2010, p. 147-165.</p>
<p>Alexandre Gady (dir.), <i>L’hôtel des Invalides</i>, Paris, L’Esplanade, 2016.</p>
","<p>Mittels eines königlichen Edikts beschloss Ludwig XIV. 1670 die Einrichtung einer Invalidenanstalt für seine Soldaten. Dieses Hôtel des Invalides wurde ab 1671 errichtet und dessen Funktion 1674 durch ein weiteres Edikt des Königs präzisiert: Es sollte der Unterbringung und Versorgung langgedienter kriegsversehrter Soldaten dienen. Der Bau wurde von dem Architekten Libéral Bruand realisiert; er errichtete auch 1677 bis 1679 die Église des Soldats. Jules Hardouin-Mansart erweiterte diese zu einer Doppelkirche, indem er eine weitere große Kirche, die Église du Dôme, hinzufügte, die über einen Zeitraum von dreißig Jahren, von 1676 bis 1706, gebaut wurde.</p>
<p>Gady, Alexandre (Hrsg.): Jules Hardouin-Mansart (1646-1708). Paris, Éditions de la Maison des sciences de l’homme, 2010. S. 147-165.</p>
<p>Gady, Alexandre (Hrsg.): L’hôtel des Invalides. Paris, L’Esplanade, 2016.</p>

",
textgrid:3pfdz,Knesebeck, Pitzler, Sturm,,OK,Ambassadeurs,,x,,,hôtel des Ambassadeurs de Hollande,Hôtel des Ambassadeurs de Hollande,Paris, hôtel Amelot de Bisseuil,Paris, Hôtel Amelot de Bisseuil,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Cottart, Pierre (psn:textgrid:3pggj)>; <Corneille, Michel-Ange (psn:textgrid:3q1n7)>; <Regnaudin, Thomas (psn:textgrid:3pgdb)>,1638 : construction ; 1657-1660 : modifications,,48.858222, 2.357861,"<p>L’hôtel Amelot de Bisseuil est construit de 1657 à 1660 par l’architecte Pierre Cottart en intégrant d’anciennes maisons des <smc>XV</smc><sup>e</sup> et <smc>XVI</smc><sup>e</sup> siècles et d’un corps de bâtiment édifié en 1638. L’hôtel comprend à l’origine vingt plafonds (huit sont encore en place) peints par de grands artistes de l’époque dont Michel Dorigny, Michel Corneille l’Ancien, Charles Poerson ou encore Louis de Boullogne, le père. L’hôtel Amelot est réaménagé dans la seconde moitié du <smc>XVIII</smc><sup>e</sup> siècle par l’architecte Louis Le Tellier qui supprime notamment le Grand Escalier.</p>
<p>Nicolas Courtin, « L’hôtel Amelot de Bisseuil au Marais », <i>Revue de l’art</i>, 1998, n° 122, p. 55-61. <a>https://doi.org/10.3406/rvart.1998.348416</a></p>
<p>Une partie des décors intérieurs est évoquée par Sturm et Knesebeck.</p>","<p>Das Hôtel Amelot de Bisseuil wurde zwischen 1657 und 1660 von dem Architekten Pierre Cottart an der Stelle, aber auch unter teilweisem Einbezug älterer Vorgängerbauten aus dem 15. und 16. Jh. und eines 1638 errichteten Gebäudes erbaut. Das herrschaftliche Stadtpalais besaß ursprünglich zwanzig Deckengemälde, von denen sich noch acht <i>in situ</i> befinden, ausgeführt von bedeutenden Künstlern, darunter Michel Dorigny, Michel Corneille der Ältere, Charles Poerson oder Louis de Boullogne der Ältere. In der zweiten Hälfte des 18. Jh.s wurde das Hôtel von dem Architekten Louis Le Tellier neu gestaltet, wobei er vor allem den Grand Escalier entfernte.</p>
<p>Courtin, Nicolas: „L’hôtel Amelot de Bisseuil au Marais.“ In: Revue de l’art 122 (1998). S. 55-61. <a>https://doi.org/10.3406/rvart.1998.348416</a></p>
<p>Teile der Innenausstattung werden von Sturm und Knesebeck erwähnt.</p>
"
textgrid:3qkn3,Corfey, Neumann, Sturm,,OK,"Full line checked [AG]
MM (17/06): checked


Neumann : Hotell du (Toornon) Tornon / de tournon  / FR: ""hôtel de Tournon""
Sturm : Hotel der extraordinairen Ambassadeurs / hôtel des Ambassadeurs extraordinaires
Corfey : hôtel des Ambassadeurs",,x,,,hôtel des Ambassadeurs extraordinaires ; hôtel des Ambassadeurs étrangers (1621-1748),Hôtel des Ambassadeurs extraordinaires; Hôtel des Ambassadeurs étrangers (1621-1748),Paris, hôtel d’Ancre,Paris, Hôtel d’Ancre,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Bordoni, Francesco (https://viaf.org/viaf/96427017)>,1607 : construction,1607: Errichtung,48.850238,,"<p>Cet hôtel, dont l’entrée donne sur la rue de Tournon, a été construit en 1607 d’après les plans du sculpteur Francesco Bordoni. Il avait appartenu à Concino Concini, maréchal d’Ancre, puis vers le milieu du <smc>XVII</smc><sup>e</sup> siècle au duc de Bellegarde, avant de devenir l’hôtel des Ambassadeurs extraordinaires.</p>
<p>Jean-Pierre Babelon,<i>Demeures parisiennes sous Henri IV et Louis XIII</i>, Paris, Hazan, 1991, p. 303-304.</p>","<p>Dieses Hôtel, dessen Eingang an der Rue de Tournon liegt, wurde 1607 nach Plänen des Bildhauers Francesco Bordoni erbaut. Es gehörte zunächst dem Marschall von Frankreich Concino Concini, Markgraf von Ancre, und ab Mitte des 17. Jh.s dem Herzog von Bellegarde. Schließlich wurde es als Hôtel des Ambassadeurs extraordinaires genutzt (Stadtpalais zur Unterbringen der außerordentlichen ausländischen Gesandten).</p>
<p>Babelon, Jean-Pierre: Demeures parisiennes sous Henri IV et Louis XIII. Paris, Hazan, 1991. S. 303-304.</p>
","<p>Dieses Hôtel, dessen Eingang zur Rue de Tournon hin liegt, wurde 1607 von Francesco Bordoni erbaut. Es gehörte zunächst Concino Concini, Marschall von Ancre und ab der Mitte des 17. Jh.s dem Duc de Bellegarde, bevor es das Hôtel des Ambassadeurs Extraordinaires wurde.</p>
<p>Babelon, Jean-Pierre: Demeures parisiennes sous Henri IV et Louis XIII. Paris, Hazan, 1991. S. 303-304.</p>",x
textgrid:3pff0,Sturm,,OK ,,https://www.wikidata.org/wiki/Q3145541,x,,,hôtel de Castille ; hôtel Dangeau ; hôtel de Breteuil ; hôtel de Missan ; hôtel de Sainson,Hôtel de Castille; Hôtel Dangeau; Hôtel de Breteuil; Hôtel de Missan; Hôtel de Sainson,Paris, hôtel Lafont,Paris, Hôtel Lafont,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Contesse, Charles>,1606 : début des travaux ; 1607 : fin des travaux ; 1679 : modifications,1606: Baubeginn; 1607: Bauende; 1679: Umbauphase,48.8551, 2.36675,"<p>Hôtel daté de 1606-1607 situé au 12 de l’actuelle place des Vosges et construit pour Pierre de Castille par le maçon Charles Contesse père. Philippe de Courcillon Dangeau, gouverneur de Touraine, conseiller d’État et grand maître des ordres du roi, y habite avec son frère l’abbé Louis de Courcillon. En 1679, ils font réaliser quelques travaux de réaménagement.</p>
<p>Alexandre Gady (dir.), <i>De la place Royale à la place des Vosges</i>, Paris, Action artistique de la Ville de Paris, 1996, p. 331-339.</p>",,"<p>Das Hôtel wurde 1606-1607 von dem Maurer Charles Contesse (Vater) für Pierre de Castille erbaut und befindet sich an der heutigen Place des Vosges Nr. 12. Später wurde es von Philippe de Courcillon Dangeau, Gouverneur de Touraine, Conseiller d’État und Grand maître des ordres du roi mit seinem Bruder, dem Abt Louis de Courcillon, bewohnt. 1679 wurden auf ihre Initiative einige Umbauarbeiten unternommen.</p>
<p>Gady, Alexandre (Hrsg.): De la place Royale à la place des Vosges. Paris, Action artistique de la Ville de Paris. 1996. S. 331-339.</p>",x,"Hôtel daté de 1606-1607 situé au 12 de l’actuelle place des Vosges construit pour Pierre de Castille par le maçon Charles Contesse père. Il a été habité par Philippe de Courcillon Dangeau, gouverneur de Touraine, conseiller d_x0092_État et grand maître des ordres du roi et son frère l’abbé Louis de Courcillon. Ces derniers font réalisés des travaux de réaménagement en 1679.

<p>Philippe de Courcillon Dangeau, gouverneur de Touraine, conseiller d’État et grand maître des ordres du roi, habite avec son frère l’abbé Louis de Courcillon, dans l’ancien hôtel de Castille, au n° 12 de l’actuelle place des Vosges. En 1679, ils font réaliser quelques travaux de réaménagement, cf. Isabelle Dérens, « N° 12 Hôtel de Castille, puis de Nouveau, de Dangeau et Le Tonnelier », Alexandre Gady, De la place Royale à la place des Vosges, Paris, 1996, pages 331-339.</p> [AH]",x
textgrid:3pff1,Sturm,,OK,,https://www.wikidata.org/wiki/Q3145712,x,,,hôtel d’Angoulême,Hôtel d’Angoulême,Paris, hôtel Lamoignon,Paris, Hôtel Lamoignon,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Delorme, Philibert (https://viaf.org/viaf/205549982)>; <Métezeau, Thibault (https://www.wikidata.org/wiki/Q3524037)>; <Thiriot, Jean (https://viaf.org/viaf/247691052)>,1585 : début des travaux ; 1589 : fin des travaux ; 1624-1640 : modifications,1585: Baubeginn; 1589: Bauende; 1624-1640: Umbauphase,48.85703,,"<p>L’hôtel Lamoignon est construit à la fin du <smc>XVI</smc><sup>e</sup> siècle et au début du <smc>XVII</smc><sup>e</sup> siècle sur des projets successifs des architectes Thibault Métezeau puis Philibert Delorme. Il appartient successivement à la famille d’Angoulême puis à la famille de Lamoignon à partir de 1650. En 1928, la ville de Paris achète l’hôtel et, au terme d’un grand chantier de restauration et de réaménagement du site, y installe son actuelle Bibliothèque historique (BHVP).</p>
<p>Alexandre Gady, <i>Les hôtels particuliers de Paris du Moyen Âge à la Belle Époque</i>, Paris, Parigramme, 2008, p. 180-181.</p>","<p>Das Hôtel Lamoignon wurde Ende des 16. und zu Beginn des 17. Jh.s nach aufeinanderfolgenden Planungen der Architekten Thibault Métezeau und Philibert Delorme erbaut. Es gehörte zunächst der Familie d’Angoulême und ab 1650 der Familie de Lamoignon. 1928 erwarb die Stadt Paris das Hôtel, in dem nach einer umfassenden Restaurierung und Umgestaltung die Bibliothèque historique de la Ville de Paris (BHVP) eingerichtet wurde.</p>
<p>Gady, Alexandre: Les hôtels particuliers de Paris du Moyen Âge à la Belle Époque. Paris, Parigramme, 2008. S. 180-181.</p>","<p>Das Hôtel Lamoignon wurde am Ende des 16. und zu Beginn des 17. Jh.s nach aufeinanderfolgenden Planungen der Architekten Thibault Métezeau und Philibert de l’Orme erbaut. Es gehörte zunächst der Familie d’Angoulême und ab 1650 der Familie de Laimognon. 1928 kaufte die Stadt Paris das Hôtel, in dem im Rahmen einer großen Restaurierung und Erneuerung die Bibliothèque historique de la Ville de Paris (BHVP) eingerichtet wurde.</p>
<p>Gady, Alexandre: Les hôtels particuliers du Moyen Âge à la Belle Époque. Paris, Parigramme, 2008. S. 180-181.</p>",x
textgrid:3pff2,Pitzler, Sturm,,,"Full line checked [AG]
MM (17/06): checked",https://www.wikidata.org/wiki/Q3145716,,,,,,Paris, hôtel d’Aumont,Paris, Hôtel d’Aumont,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Mansart, François (psn:textgrid:3pgbq)>; <Villedo, Michel (https://viaf.org/viaf/59355613)>; <Le Brun, Charles (psn:textgrid:3pg6d)>,1631 : début des travaux ; 1650 : fin des travaux ; 1703 : modifications,1631: Baubeginn; 1650: Bauende; 1703: Umbauphase,, 2.358361,"<p>L’hôtel d’Aumont, précédemment hôtel Scarron, est construit de 1631 à 1650 par les architectes François Mansart et Michel Villedo pour Michel-Antoine Scarron. L’hôtel connaît de nouvelles modifications dès 1655 lorsque la famille d’Aumont achète le bâtiment. Charles Le Brun décore un des plafonds de l’hôtel d’Aumont avec cinq compositions relatant l’histoire des origines de Rome. Le panneau central, représentant <i>L’Apothéose de Romulus</i>, est perdu mais connu grâce à un dessin préparatoire (aujourd’hui au musée du Louvre). À partir de 1965, le Tribunal administratif de Paris s’y installe.</p>
<p>Alexandre Gady, <i>Les hôtels particuliers de Paris du Moyen Âge à la Belle Époque</i>, Paris, Parigramme, 2008, p. 186-187.</p>
<p>Le décor du plafond de Charles Le Brun est évoqué par Sturm.</p>","<p>Das Hôtel d’Aumont, ehemals Hôtel Scarron genannt, wurde zwischen 1631 und 1650 von den Architekten François Mansart und Michel Villedo erbaut. Es entstand ursprünglich für Michel-Antoine Scarron. Als die Familie d’Aumont das Gebäude 1665 erwarb, wurde es nochmals verändert. Charles Le Brun malte eine der Decken mit fünf Darstellungen zur Gründungsgeschichte Roms aus. Das zentrale Bildfeld, das die Apotheose des Romulus zeigte, ist verloren, aber durch eine Entwurfszeichnung überliefert (heute im Louvre). Seit 1965 ist das Tribunal administratif de Paris im Stadtpalais untergebracht.</p>
<p>Gady, Alexandre: Les hôtels particuliers de Paris du Moyen Âge à la Belle Époque. Paris, Parigramme, 2008. S. 186-187.</p> 
<p>Die Deckengestaltung von Charles Le Brun wird von Sturm erwähnt.</p>","<p>Das Hôtel d’Aumont, zuvor Hôtel Scarron, wurde zwischen 1631 und 1650 von den Architekten François Mansart und Michel Villedo für Michel-Antoine Scarron errichtet und ab 1665, als die Familie d’Aumont das Gebäude erwarb, nochmals verändert. Charles Le Brun bemalte eine Decke des Hôtel d’Aumont mit fünf Darstellungen zur Entstehungsgeschichte Roms. Das Mittelfeld, das die Apotheose von Romulus zeigte, ist verschollen, aber dank einer vorbereitenden Zeichnung überliefert. Ab 1965 ließ sich dort das Tribunal Administratif von Paris nieder.</p>
<p>Gady, Alexandre: Les hôtels particuliers de Paris du Moyen Âge à la Belle Époque. Paris, Parigramme, 2008. S. 186-187.</p> 
<p>Die Deckengestaltung von Charles Le Brun wird von Sturm erwähnt.</p>"
textgrid:3pff3,Sturm,,OK,,https://www.wikidata.org/wiki/Q1643130,x,,,hôtel d’Avaux ; hôtel de Beauvilliers ; hôtel de Rochechouart ; hôtel d’Asnières,Hôtel d’Avaux; Hôtel de Beauvilliers; Hôtel de Rochechouart; Hôtel d’Asnières,Paris, hôtel de Saint-Aignan,Paris, Hôtel de Saint-Aignan,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Le Muet, Pierre (psn:textgrid:3pgcc)>; <Le Nôtre, André (psn:textgrid:3pgch)>; <Vuibert, Rémy (psn:textgrid:3pgfw)>,1644 : début des travaux ; 1650 : fin des travaux ; 1691-1693 : modifications,1644: Baubeginn; 1650: Bauende; 1691-1693: Umbauphase,48.86101,,"<p>L’hôtel d’Avaux, aujourd’hui connu sous le nom d’hôtel de Saint-Aignan, est construit de 1644 à 1650 par l’architecte Pierre Le Muet pour Claude de Mesmes comte d’Avaux sur la parcelle de l’ancien logement familial qu’il fait détruire à cette occasion. La salle à manger est ornée d’un grand décor antiquisant peint probablement par Rémy Vuibert. Racheté par le duc de Saint-Aignan en 1688, il est saisi à la Révolution puis abrite jusqu’en 1823 la mairie de ce qui est alors le 7<sup>e</sup> arrondissement de la ville de Paris. Transformé ensuite en immeuble d’habitation et à vocation commerciale, l’hôtel de Saint-Aignan est racheté par la ville de Paris en 1962 et, après une longue campagne de restauration, devient, en 1998, le siège du musée d’Art et d’Histoire du judaïsme (MAHJ).</p>
<p>Pierre Le Muet, <i>Manière de bien bastir pour toutes sortes de personnes [...] reveue, augmentée et enrichie, en cette 2<sup>e</sup> édition, de plusieurs figures, de beaux bastiments & édifices, de l’invention & conduitte dudit sieur Le Muet, & autres</i>, Paris, F. Langlois, 1647, pl. 26-31 : <a>https://gallica.bnf.fr/ark:/12148/bpt6k10400023/f195.item</a>.</p>
<p>Michel Le Moël, <i>L’architecture privée à Paris au Grand Siècle</i>, Paris, Commission des travaux historiques de la Ville de Paris, 1990, p. 396.</p>
<p>Claude Mignot, « Pour un grand peintre retrouvé : Rémy Vuibert », <i>Revue de l’art</i>,‎ 2007, n° 155, p. 21-44.
","<p>Das Hôtel d’Avaux, heute unter dem Namen Hôtel de Saint-Aignan bekannt, wurde zwischen 1644 und 1650 vom Architekten Pierre Le Muet für Claude De Mesmes, Graf von Avaux, errichtet. Dazu wurde der alte Familienwohnsitz abgerissen. Die Salle à manger wurde wahrscheinlich von Rémy Vuibert mit dekorativen Deckenfresken römisch-antikischen Gepräges ausgestattet. 1688 wurde das Stadtpalais vom Herzog von Saint-Aignan erworben. Während der Französischen Revolution wurde der Komplex beschlagnahmt und im 19. Jh. Rathaus des damaligen 7. Arrondissements der Stadt Paris. Nachdem es in ein Wohn- und Geschäftshaus umgewandelt worden war, wurde das Hôtel de Saint-Aignan 1962 durch die Stadt erworben. Nach einer langwierigen, dreißigjährigen Restaurierung wurde das Hôtel 1998 Sitz des Musée d’Art et d’Histoire du Judaïsme (MAHJ).</p>
<p>Le Muet, Pierre: Manière de bien bastir pour toutes sortes de personnes [...] reveue, augmentée et enrichie, en cette 2<sup>e</sup> édition, de plusieurs figures, de beaux bastiments & édifices, de l’invention & conduitte dudit sieur Le Muet, & autres. Paris, F. Langois, 1647. Tf. 26-31: <a>https://gallica.bnf.fr/ark:/12148/bpt6k10400023/f195.item</a>.</p>
<p>Le Moël, Michel: L’architecture privée à Paris au Grand Siècle. Paris, Commission des travaux historiques de la Ville de Paris, 1990. S. 396.</p>
<p>Mignot, Claude: „Pour un grand peintre retrouvé : Rémy Vuibert.“ In: Revue de l’art 155 (2007). S. 21-44.
","<p>Das Hôtel d’Avaux, heute unter dem Namen Hôtel de Saint-Aignan bekannt, wurde zwischen 1644 und 1650 von dem Architekt Pierre Le Muet für Claude De Mesmes, Comte d’Avaux, auf der Parzelle eines Vorgängerbaus errichtet, den er für den Neubau abreißen ließ. Die Salle à manger wurde mit einem großem römischen Deckengemälde verziert, das wahrscheinlich von Rémy Vuibert gemalt wurde. 1688 wurde das Hôtel von dem Duc de Saint-Aignan gekauft und während der Französischen Revolution  beschlagnahmt. Im 19. Jh. wurde es der Sitz des Siebten Arrondissements der Stadt Paris. Nach einer dreißigjährigen Restaurierung wurde das Hôtel de Saint-Aignan 1998 der Sitz des Musée d’Art et d’Histoire du judaïsme (MAHJ).</p>
<p>Le Moël, Michel: L’architecture privée à Paris au Grand Siècle. Paris, Commission des Travaux historiques de la Ville de Paris, 1990. S. 396.</p>",x
textgrid:3pff4,Sturm,,OK,,,,,,,,Paris, hôtel d’Hautefeuille,Paris, Hôtel d’Hautefeuille,domestic,détruit,zerstört,hôtel particulier,Hôtel particulier,,,,,"<p>Situé à l’angle de la rue de la Planche et de la rue du Bac, cet hôtel était alors occupé par Étienne Texier d’Hautefeuille qui y conservait une collection de peintures manifestement remarquable.</p>
<p>Antoine Schnapper, <i>Curieux du Grand Siècle. Collections et collectionneurs dans la France du <smc>XVII</smc><sup>e</sup> siècle. 2, Œuvres d’art</i>, Paris, Flammarion, 1994, p. 87-88.</p>","<p>Das Hôtel befand sich an der Ecke der Rue de la Planche und der Rue du Bac und wurde von Étienne Texier d’Hautefeuille bewohnt, der hier eine offenbar herausragende Gemäldesammlung verwahrte.</p>
<p>Schnapper, Antoine: Curieux du Grand Siècle. Collections et collectionneurs dans la France du XVII<sup>e</sup> siècle. Bd. 2: Œuvres d’art. Paris, Flammarion, 1994. S. 87f.</p>",,,<p>Hôtel appartenant en réalité à l’hôpital des incurables dont le locataire était Louis-Etienne Te<smc>XI</smc><sup>e</sup>r de Hautefeuille. Cf. Bruno Pons et Anne Forray-Carlier, Le faubourg Saint-Germain : la rue du Bac, Paris,1990
textgrid:3pff5,Harrach, Pitzler, Sturm,,OK ,MM (17/06): checked,,x,,,,,Paris, hôtel de Beauvais,Paris, Hôtel de Beauvais,domestic,conservé,erhalten,hôtel particulier,Hôtel particulier,<Lepautre, Antoine (psn:textgrid:3pgcr)>; <Cotte, Robert de (psn:textgrid:3pg7t)>; <Beausire, Jean-Baptiste de (https://viaf.org/viaf/95843343)>,1655 : début des travaux ; 1660 : fin des travaux ; 1705,,1655: Baubeginn; 1660: Bauende; 1705, 1734-1740: Umbauphasen,48.85542, 2.358401
